id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
600795,Lara,,Tower Hamlets,51.51238955,-0.063669198,Entire home/apt,89,2,62,2015/2/25,2.1,8,355
4530027,Jasmine,,Barnet,51.6153804,-0.144852383,Shared room,100,1,0,,,1,365
896177,Cameron,,Southwark,51.49139682,-0.102908875,Private room,65,2,9,2013/10/12,0.4,1,352
3770567,Mike,,Islington,51.54761006,-0.098068204,Private room,45,1,0,,,1,221
4292560,Maxime And Fanny,,Kensington and Chelsea,51.51825525,-0.206390999,Entire home/apt,399,2,10,2015/3/1,1.8,100,290
5333594,Santokh,,Tower Hamlets,51.5240084,-0.072252097,Entire home/apt,109,2,0,,,5,355
1483604,Diego,,Hammersmith and Fulham,51.4985001,-0.224730601,Entire home/apt,110,1,58,2015/3/3,2.9,6,325
3906945,Jaime,,Hammersmith and Fulham,51.48508066,-0.21683661,Private room,80,1,1,2015/3/23,1,2,252
397504,Wills,,Kensington and Chelsea,51.48151618,-0.181926559,Private room,60,2,153,2015/1/2,4.2,1,356
3519290,Andrew,,Newham,51.54757592,-0.015186916,Private room,59,2,9,2015/3/19,1,1,358
4665203,Luke,,Lambeth,51.46202151,-0.133634747,Entire home/apt,85,1,0,,,1,106
4774359,Elena,,Lambeth,51.46241569,-0.133041499,Private room,72,1,0,,,1,94
3537594,Tom,,Westminster,51.49855045,-0.13478968,Entire home/apt,159,3,10,2014/11/17,1.3,1,241
4152678,Maya,,Islington,51.56386718,-0.138369066,Private room,50,1,0,,,3,64
2230438,Antony,,Wandsworth,51.44718128,-0.217072489,Entire home/apt,130,5,1,2014/7/7,0.1,1,93
64988,Franny,,Hackney,51.54431124,-0.066094816,Private room,75,2,58,2014/10/18,1.1,1,281
4750274,Jordi,,Hackney,51.53195258,-0.087023311,Private room,30,2,0,,,1,97
5528621,Anna,,Lambeth,51.49320024,-0.110388594,Private room,50,1,0,,,1,281
975807,Florence,,Lambeth,51.46919733,-0.097569981,Entire home/apt,110,4,10,2014/12/31,0.4,1,253
1372135,Sally,,Lambeth,51.48909936,-0.112262088,Entire home/apt,95,4,10,2015/1/2,0.5,1,71
1933558,Jammie,,Westminster,51.51586314,-0.1804522,Entire home/apt,250,1,35,2015/3/30,2.3,7,310
4421811,Jennifer,,Lambeth,51.45700233,-0.11955072,Entire home/apt,135,2,5,2015/3/29,1.6,1,99
3574342,Kirsty,,Lewisham,51.43494918,-0.035183272,Entire home/apt,80,1,0,,,1,242
3895679,Anshu,,Westminster,51.51721832,-0.162824494,Private room,60,1,0,,,1,207
3511341,Tomas,,Westminster,51.50035474,-0.157875963,Private room,90,3,26,2015/4/6,3.1,1,278
4772551,Diego,,Westminster,51.52434547,-0.176993051,Entire home/apt,100,1,0,,,2,137
4132266,Alec,,Westminster,51.48758682,-0.140138129,Private room,90,1,0,,,2,175
3158800,Evija,,Westminster,51.52373269,-0.161453956,Entire home/apt,256,1,0,,,1,345
3278851,Vicenç,,Hackney,51.52189813,-0.082700775,Entire home/apt,120,3,9,2014/12/23,1,1,365
3759342,Woody,,Hammersmith and Fulham,51.46849535,-0.188745476,Entire home/apt,250,1,0,,,1,123
1761747,Matt,,Hammersmith and Fulham,51.47185924,-0.201765421,Private room,60,1,1,2015/3/10,1,1,365
