code,NAME,mean_16,growth_16,Mean_1819_ons,mean_18,growth_18
E09000007,Camden,2672,2,2536,2699,0.505239521
E09000001,City of London,3361,-6,2446,3416,0.818208866
E09000012,Hackney,2046,2,1834,1993,-1.295210166
E09000013,Hammersmith and Fulham,2228,4,2117,2528,6.732495512
E09000014,Haringey,1450,3,1558,1558,3.724137931
E09000019,Islington,2168,4,1914,2130,-0.876383764
E09000020,Kensington and Chelsea,3405,4,3053,3546,2.070484581
E09000022,Lambeth,2019,11,1754,2113,2.327885092
E09000023,Lewisham,1361,8,1324,1426,2.387950037
E09000025,Newham,1501,4,1424,1637,4.530313125
E09000028,Southwark,1697,4,1654,1742,1.325869181
E09000030,Tower Hamlets,2135,1,1803,2088,-1.100702576
E09000032,Wandsworth,1863,4,1883,1974,2.979066023
E09000033,Westminster,3130,5,3018,3482,5.623003195
E09000002,Barking and Dagenham,1118,6,1194,1200,3.66726297
E09000003,Barnet,1512,2,1523,1536,0.793650794
E09000004,Bexley,968,8,1106,1074,5.475206612
E09000005,Brent,1718,6,1535,1737,0.552968568
E09000006,Bromley,1243,3,1321,1281,1.528559936
E09000008,Croydon,1254,5,1136,1285,1.236044657
E09000009,Ealing,1799,2,1463,1715,-2.33463035
E09000010,Enfield,1277,4,1310,1329,2.036021926
E09000011,Greenwich,1585,3,1404,1559,-0.820189274
E09000015,Harrow,1310,6,1407,1382,2.748091603
E09000016,Havering,1028,11,1169,1144,5.642023346
E09000017,Hillingdon,1267,3,1270,1330,2.486187845
E09000018,Hounslow,1431,12,1432,1455,0.838574423
E09000021,Kingston upon Thames,1408,2,1390,1432,0.852272727
E09000024,Merton,1568,9,1530,1587,0.605867347
E09000026,Redbridge,1274,3,1318,1317,1.687598116
E09000027,Richmond upon Thames,1735,1,1857,1736,0.028818444
E09000029,Sutton,1134,6,1167,1173,1.71957672
E09000031,Waltham Forest,1284,6,1309,1353,2.686915888
