code,NAME,Count of rents,Mean,Lower quartile,Median,Upper quartile,mean_daily
E09000007,Camden,2400,2536,1647,2058,2817,83.37534247
E09000001,City of London,60,2446,1755,2167,2817,80.41643836
E09000012,Hackney,1170,1834,1400,1699,2150,60.29589041
E09000013,Hammersmith and Fulham,1160,2117,1365,1690,2340,69.6
E09000014,Haringey,1390,1558,1250,1450,1750,51.22191781
E09000019,Islington,1240,1914,1452,1733,2250,62.9260274
E09000020,Kensington and Chelsea,2220,3053,1842,2383,3380,100.3726027
E09000022,Lambeth,1590,1754,1300,1600,1950,57.66575342
E09000023,Lewisham,2090,1324,1050,1250,1500,43.52876712
E09000025,Newham,1740,1424,1192,1400,1650,46.81643836
E09000028,Southwark,2590,1654,1300,1517,1900,54.37808219
E09000030,Tower Hamlets,2010,1803,1408,1668,2050,59.27671233
E09000032,Wandsworth,3160,1883,1430,1700,2145,61.90684932
E09000033,Westminster,2370,3018,1777,2383,3250,99.22191781
E09000002,Barking and Dagenham,880,1194,1050,1200,1350,39.25479452
E09000003,Barnet,2160,1523,1175,1350,1650,50.07123288
E09000004,Bexley,840,1106,920,1100,1262,36.36164384
E09000005,Brent,1620,1535,1213,1452,1798,50.46575342
E09000006,Bromley,2700,1321,1000,1200,1495,43.43013699
E09000008,Croydon,2250,1136,900,1100,1300,37.34794521
E09000009,Ealing,1210,1463,1175,1350,1600,48.09863014
E09000010,Enfield,1000,1310,1011,1250,1500,43.06849315
E09000011,Greenwich,1460,1404,1100,1350,1600,46.15890411
E09000015,Harrow,1210,1407,1150,1350,1625,46.25753425
E09000016,Havering,710,1169,975,1150,1350,38.43287671
E09000017,Hillingdon,1360,1270,995,1200,1450,41.75342466
E09000018,Hounslow,1460,1432,1100,1312,1600,47.07945205
E09000021,Kingston upon Thames,760,1390,1062,1277,1550,45.69863014
E09000024,Merton,1010,1530,1200,1400,1750,50.30136986
E09000026,Redbridge,1730,1318,1050,1250,1500,43.33150685
E09000027,Richmond upon Thames,2120,1857,1295,1575,2000,61.05205479
E09000029,Sutton,880,1167,925,1100,1300,38.36712329
E09000031,Waltham Forest,1610,1309,1080,1250,1500,43.03561644
